Ship Code;Lpp min;Ntotal;E(L);std(L);E(Cb);StDev(Cb);E(L/B);StDev(L/B);E(B/D);StDev(B/D);E(D/T);StDev(D/T);E(V);StDev(V);Bulb pct;E(DWT);std(DWT);E(Fuel);std(Fuel)
9;0;489;22;2;0.09;0.18;2.96;0.56;2.90;0.85;1.83;0.60;18.5;8.11;0.11;225;816;29;5.973.560.439
9;25;1134;35;6;0.09;0.19;3.93;1.07;2.95;0.82;1.76;0.52;16.8;7.33;0.19;111;146;75;6.516.484.632
9;50;406;61;7;0.15;0.25;4.59;0.71;3.00;0.95;1.64;0.53;14.1;3.55;0.53;476;364;96;8.439.659.685
9;75;225;86;7;0.19;0.28;5.21;0.73;2.60;0.98;1.83;0.60;15.5;3.14;0.56;1016;600;186;1.472.773.314
9;100;147;112;7;0.27;0.30;5.76;0.81;2.27;0.65;1.82;0.46;18.0;2.76;0.81;2104;1190;436;2.857.407.643
9;125;190;136;8;0.27;0.30;5.89;0.68;2.12;0.65;2.02;0.59;19.8;1.87;0.95;4062;2078;721;2.889.577.798
9;150;175;162;7;0.25;0.30;6.26;0.56;2.37;0.71;1.89;0.59;21.6;3.04;0.95;5474;2159;1043;5.273.249.879
9;175;122;184;7;0.22;0.29;6.73;0.54;2.09;0.60;2.05;0.56;23.4;3.65;0.99;7110;3501;1428;5.715.844.673
9;200;38;215;9;0.23;0.31;6.89;0.48;2.09;0.78;2.28;0.94;20.8;1.59;1.00;7182;1277;2385;7.061.284.766
9;225;33;238;8;0.31;0.35;6.96;0.34;2.54;0.69;1.82;0.57;21.6;1.57;1.00;9237;2352;3026;8.722.530.567
9;250;36;263;6;0.26;0.33;8.01;0.35;2.33;0.80;2.10;1.18;22.9;1.16;1.00;9496;1761;2877;6.406.150.658
9;275;1;275;;0.00;;7.13;;3.30;;1.33;;22.1;;1.00;11132;;3610;
9;300;3;303;1;0.00;0.00;7.69;0.29;2.64;1.14;1.90;0.98;24.5;4.24;1.00;13463;4959;7773;
9;325;0;;;;;;;;;;;;;0.00;;;;
9;350;0;;;;;;;;;;;;;0.00;;;;
9;375;0;;;;;;;;;;;;;0.00;;;;
9;400;0;;;;;;;;;;;;;0.00;;;;
10;-1;530;47;26;0.08;0.13;3.67;1.04;3.00;1.04;2.38;0.68;36.2;3.79;0.16;212;589;59;127.429.048
10;0;92;24;1;0.03;0.09;2.82;0.26;3.00;0.53;1.99;0.60;36.5;4.27;0.02;60;56;11;6.968.153.265
10;25;319;35;5;0.08;0.13;3.57;0.73;2.88;0.77;2.44;0.53;35.5;3.67;0.16;70;191;10;6.059.354.818
10;50;54;65;7;0.05;0.09;3.35;0.98;3.71;1.61;2.26;0.69;37.3;3.34;0.24;363;347;58;4.358.560.317
10;75;48;86;6;0.08;0.15;4.45;1.38;3.14;1.69;2.57;1.17;38.2;2.74;0.22;545;213;130;7.335.413.267
10;100;8;112;6;0.12;0.18;4.94;2.08;2.76;0.86;2.77;0.85;38.9;2.36;0.43;967;435;249;5.154.132.867
10;125;6;128;1;0.08;0.12;5.57;0.64;2.22;0.77;2.73;0.69;40.5;1.14;0.00;1203;157;;
10;150;0;;;;;;;;;;;;;0.00;;;;
10;175;1;191;;0.58;;7.24;;1.68;;2.15;;32.0;;1.00;6700;;1200;
10;200;2;208;0;0.00;0.00;8.00;0.00;1.40;0.00;2.51;0.00;30.5;0.00;1.00;6765;14;;
10;225;0;;;;;;;;;;;;;0.00;;;;
10;250;0;;;;;;;;;;;;;0.00;;;;
10;275;0;;;;;;;;;;;;;0.00;;;;
10;300;0;;;;;;;;;;;;;0.00;;;;
10;325;0;;;;;;;;;;;;;0.00;;;;
10;350;0;;;;;;;;;;;;;0.00;;;;
10;375;0;;;;;;;;;;;;;0.00;;;;
10;400;0;;;;;;;;;;;;;0.00;;;;
11;-1;12006;42;29;0.19;5.65;3.63;0.91;2.32;0.47;1.33;0.31;13.0;4.00;0.13;2808;17944;364;6.807.815.265
11;0;3292;22;3;0.37;12.56;2.94;0.40;2.27;0.44;1.35;0.34;12.4;5.09;0.02;935;13915;92;148.574.684
11;25;5671;32;7;0.12;0.24;3.39;0.69;2.28;0.44;1.33;0.34;13.1;4.10;0.05;322;296;131;1.304.310.529
11;50;2293;60;7;0.15;0.29;4.34;0.71;2.45;0.46;1.28;0.20;13.0;2.63;0.28;1695;1283;564;379.753.051
11;75;450;83;7;0.22;0.34;4.68;0.92;2.41;0.57;1.34;0.23;13.9;2.33;0.46;3922;1735;962;6.713.813.484
11;100;129;112;8;0.22;0.35;5.25;1.13;2.30;0.68;1.53;0.50;13.7;2.31;0.60;7790;3827;1207;6.523.285.335
11;125;52;134;6;0.32;0.36;5.25;0.82;2.29;0.82;1.57;0.50;14.7;2.35;0.52;12090;7435;1827;8.101.482.937
11;150;23;160;8;0.20;0.37;5.44;1.43;2.46;0.79;1.49;0.37;14.8;1.57;0.47;23671;16215;2568;1.009.554.158
11;175;8;189;8;0.42;0.40;5.79;0.65;1.86;0.24;1.61;0.22;12.3;2.84;0.80;31952;14255;4886;1.284.233.591
11;200;25;213;8;0.40;0.43;5.74;0.68;1.93;0.24;1.48;0.16;12.7;1.84;0.82;69270;20433;2603;1.764.612.436
11;225;34;235;6;0.49;0.41;5.59;0.45;1.89;0.13;1.46;0.17;13.3;2.69;0.75;104877;24465;3605;1.221.744.111
11;250;11;263;6;0.37;0.43;5.64;0.32;1.86;0.25;1.45;0.08;13.4;0.95;1.00;149550;24834;4646;2.147.090.315
11;275;8;284;8;0.34;0.43;5.23;0.58;1.97;0.21;1.39;0.09;14.5;;0.33;230301;96361;5490;
11;300;7;308;7;0.41;0.45;5.46;0.30;1.95;0.09;1.38;0.08;14.5;0.71;1.00;287364;61925;5561;1.205.616.647
11;325;3;329;4;0.82;0.01;5.29;0.46;2.05;0.03;1.33;0.04;15.1;0.18;1.00;347949;22086;12756;153.017.646
11;350;0;;;;;;;;;;;;;0.00;;;;
11;375;0;;;;;;;;;;;;;0.00;;;;
11;400;0;;;;;;;;;;;;;0.00;;;;
12;-1;8384;40;18;0.20;0.28;4.27;0.95;1.95;0.41;1.31;0.27;11.8;2.02;0.71;561;838;322;5.097.796.116
12;0;3009;22;2;0.16;0.24;3.16;0.30;2.00;0.33;1.27;0.21;10.2;1.19;0.39;146;238;34;3.000.376.947
12;25;3928;37;8;0.19;0.28;4.37;0.77;2.00;0.46;1.27;0.26;11.7;1.31;0.84;338;216;135;8.785.741.731
12;50;1109;56;6;0.25;0.30;4.93;0.61;1.80;0.32;1.38;0.32;13.6;1.75;0.74;969;598;365;1.930.743.589
12;75;267;89;7;0.40;0.31;5.76;0.42;1.66;0.21;1.65;0.17;14.8;1.84;0.55;2107;1151;1066;2.939.581.476
12;100;64;108;5;0.42;0.33;5.90;0.32;1.65;0.25;1.68;0.22;15.2;1.44;0.69;3910;1252;1651;308.682.199
12;125;3;132;2;0.25;0.44;6.37;0.72;1.93;0.25;1.49;0.36;15.8;1.76;0.00;9419;2538;2231;
12;150;4;165;0;0.72;0.03;6.11;0.40;2.23;0.35;1.58;0.20;14.6;0.38;0.25;10307;391;5267;1.165.499.857
12;175;0;;;;;;;;;;;;;0.00;;;;
12;200;0;;;;;;;;;;;;;0.00;;;;
12;225;0;;;;;;;;;;;;;0.00;;;;
12;250;0;;;;;;;;;;;;;0.00;;;;
12;275;0;;;;;;;;;;;;;0.00;;;;
12;300;0;;;;;;;;;;;;;0.00;;;;
12;325;0;;;;;;;;;;;;;0.00;;;;
12;350;0;;;;;;;;;;;;;0.00;;;;
12;375;0;;;;;;;;;;;;;0.00;;;;
12;400;0;;;;;;;;;;;;;0.00;;;;
13;-1;2047;69;42;0.16;0.30;4.05;1.36;3.06;1.54;1.61;0.79;15.4;8.78;0.44;10642;59303;844;1.919.311.412
13;0;585;21;4;0.15;0.24;3.09;0.63;3.40;1.93;1.81;0.95;22.0;14.90;0.11;9231;30963;224;4.717.279.974
13;25;502;36;7;0.21;0.32;3.59;1.06;3.12;1.63;1.52;0.43;14.2;8.84;0.39;312;366;69;6.767.160.077
13;50;383;61;7;0.13;0.27;4.19;1.05;2.91;1.29;1.48;0.85;13.3;1.98;0.58;1567;1297;527;3.953.968.401
13;75;281;86;8;0.13;0.26;4.10;1.61;3.05;1.41;1.60;0.77;15.0;2.41;0.54;5203;4119;1496;1.196.029.319
13;100;145;111;8;0.13;0.30;4.35;1.53;3.14;1.21;1.81;1.12;16.2;1.79;0.44;10425;6550;1329;3.258.020.658
13;125;53;136;7;0.08;0.24;5.52;1.10;2.57;0.76;1.39;0.30;13.8;1.50;0.50;17484;7097;2817;1.663.468.703
13;150;34;164;6;0.32;0.37;5.22;1.32;2.47;0.97;1.99;1.00;15.4;1.27;1.00;25797;10450;2277;129.740.979
13;175;37;188;8;0.25;0.33;6.23;1.13;1.94;0.63;1.62;0.53;18.4;2.13;1.00;34363;14612;7573;7.873.623.405
13;200;15;215;8;0.46;0.49;5.75;1.22;2.64;1.44;1.62;0.34;14.3;0.65;0.67;52314;36238;3750;667.757.441
13;225;4;239;10;0.31;0.54;4.60;0.92;2.79;1.25;2.67;2.24;;;0.00;134719;5947;;
13;250;2;257;;0.00;;4.28;;2.00;;1.43;;;;0.00;241299;47520;3704;
13;275;1;294;;0.00;;4.74;;1.93;;1.46;;;;0.00;341000;;;
13;300;0;;;;;;;;;;;;;0.00;;;;
13;325;0;;;;;;;;;;;;;0.00;;;;
13;350;0;;;;;;;;;;;;;0.00;;;;
13;375;5;;;;;;;;;;;;;0.00;887580;185;;
13;400;0;;;;;;;;;;;;;0.00;;;;
14;-1;786;39;15;0.14;0.22;4.34;0.72;1.94;0.29;1.84;0.49;16.6;4.59;0.34;233;331;162;1.856.169.566
14;0;143;19;6;0.03;0.08;3.25;0.41;1.87;0.38;1.98;0.56;18.4;9.90;0.00;207;302;305;4.655.092.913
14;25;536;36;7;0.14;0.21;4.33;0.53;1.95;0.26;1.83;0.51;16.2;4.28;0.26;147;143;66;3.592.234.313
14;50;88;58;6;0.25;0.26;4.97;0.43;1.90;0.19;1.74;0.21;17.0;3.00;0.62;411;321;193;7.253.330.256
14;75;14;85;7;0.10;0.20;5.67;0.84;2.22;0.60;1.60;0.42;18.9;1.20;0.80;1006;941;;
14;100;2;107;4;0.34;0.48;6.24;1.41;2.45;1.08;1.66;0.87;19.8;2.47;1.00;1680;;
14;125;3;132;6;0.19;0.34;6.77;0.46;2.03;0.48;2.03;0.26;25.0;;0.00;1557;;649
14;150;0;;;;;;;;;;;;;0.00;;;
14;175;0;;;;;;;;;;;;;0.00;;;
14;200;0;;;;;;;;;;;;;0.00;;;
14;225;0;;;;;;;;;;;;;0.00;;;
14;250;0;;;;;;;;;;;;;0.00;;;
14;275;0;;;;;;;;;;;;;0.00;;;
14;300;0;;;;;;;;;;;;;0.00;;;
14;325;0;;;;;;;;;;;;;0.00;;;
14;350;0;;;;;;;;;;;;;0.00;;;
14;375;0;;;;;;;;;;;;;0.00;;;
14;400;0;;;;;;;;;;;;;0.00;;;
